Time,I(L1),Ii,Io,Vo,Vi,Vgate,VD1,VD2,Vind,Vq1
0.100001,0.0218182,0.021823,-2.39808e-006,24,48,1,48,2.18206e-007,48,2.1823e-007
0.100002,0.0436364,0.0436412,-2.39808e-006,24,48,1,48,4.36388e-007,48,4.36412e-007
0.100003,0.0654545,0.0654593,-2.39808e-006,24,48,1,48,6.54569e-007,48,6.54593e-007
0.100004,0.0872727,0.0872775,-2.39808e-006,24,48,1,48,8.72751e-007,48,8.72775e-007
0.100005,0.109091,0.109096,-2.39808e-006,24,48,1,48,1.09093e-006,48,1.09096e-006
0.100006,0.130909,0.130914,-2.39808e-006,24,48,1,48,1.30911e-006,48,1.30914e-006
0.100007,0.152727,0.152732,-2.39808e-006,24,48,1,48,1.5273e-006,48,1.52732e-006
0.100008,0.174545,0.17455,-2.39808e-006,24,48,1,48,1.74548e-006,48,1.7455e-006
0.100009,0.196364,0.196368,-2.39808e-006,24,48,1,48,1.96366e-006,48,1.96368e-006
0.10001,0.218182,0.218187,-2.39808e-006,24,48,1,48,2.18184e-006,48,2.18187e-006
0.100011,0.24,0.240005,-2.39808e-006,24,48,1,48,2.40002e-006,48,2.40005e-006
0.100012,0.232364,4.78906e-006,0.232333,24,48,0,-2.32359e-006,24,-24,48
0.100013,0.221455,4.78906e-006,0.221456,24,48,0,-2.2145e-006,24,-24,48
0.100014,0.210545,4.78906e-006,0.210547,24,48,0,-2.10541e-006,24,-24,48
0.100015,0.199636,4.78906e-006,0.199638,24,48,0,-1.99632e-006,24,-24,48
0.100016,0.188727,4.78906e-006,0.188728,24,48,0,-1.88722e-006,24,-24,48
0.100017,0.177818,4.78906e-006,0.177819,24,48,0,-1.77813e-006,24,-24,48
0.100018,0.166909,4.78906e-006,0.16691,24,48,0,-1.66904e-006,24,-24,48
0.100019,0.156,4.78906e-006,0.156001,24,48,0,-1.55995e-006,24,-24,48
0.10002,0.145091,4.78906e-006,0.145092,24,48,0,-1.45086e-006,24,-24,48
0.100021,0.134182,4.78906e-006,0.134183,24,48,0,-1.34177e-006,24,-24,48
0.100022,0.123273,4.78906e-006,0.123274,24,48,0,-1.23268e-006,24,-24,48
0.100023,0.112364,4.78906e-006,0.112365,24,48,0,-1.12359e-006,24,-24,48
0.100024,0.101455,4.78906e-006,0.101456,24,48,0,-1.0145e-006,24,-24,48
0.100025,0.0905454,4.78906e-006,0.0905466,24,48,0,-9.05406e-007,24,-24,48
0.100026,0.0796363,4.78906e-006,0.0796375,24,48,0,-7.96315e-007,24,-24,48
0.100027,0.0687272,4.78906e-006,0.0687284,24,48,0,-6.87224e-007,24,-24,48
0.100028,0.0578181,4.78906e-006,0.0578193,24,48,0,-5.78133e-007,24,-24,48
0.100029,0.0469091,4.78906e-006,0.0469103,24,48,0,-4.69043e-007,24,-24,48
0.10003,0.036,4.78906e-006,0.0360012,24,48,0,-3.59952e-007,24,-24,48
0.100031,0.0250909,4.78906e-006,0.0250921,24,48,0,-2.50861e-007,24,-24,48
0.100032,0.0141818,4.78906e-006,0.014183,24,48,0,-1.4177e-007,24,-24,48
0.100033,0.00327269,4.78906e-006,0.00327389,24,48,0,-3.26789e-008,24,-24,48
0.100034,0.0152872,0.015292,-2.39453e-006,24,48,1,48,1.52896e-007,48,1.5292e-007
0.100035,0.0371054,0.0371102,-2.39808e-006,24,48,1,48,3.71078e-007,48,3.71102e-007
0.100036,0.0589236,0.0589284,-2.39808e-006,24,48,1,48,5.8926e-007,48,5.89284e-007
0.100037,0.0807418,0.0807466,-2.39808e-006,24,48,1,48,8.07442e-007,48,8.07466e-007
0.100038,0.10256,0.102565,-2.39808e-006,24,48,1,48,1.02562e-006,48,1.02565e-006
0.100039,0.124378,0.124383,-2.39808e-006,24,48,1,48,1.24381e-006,48,1.24383e-006
0.10004,0.146196,0.146201,-2.39808e-006,24,48,1,48,1.46199e-006,48,1.46201e-006
0.100041,0.168014,0.168019,-2.39808e-006,24,48,1,48,1.68017e-006,48,1.68019e-006
0.100042,0.189833,0.189837,-2.39808e-006,24,48,1,48,1.89835e-006,48,1.89837e-006
0.100043,0.211651,0.211656,-2.39808e-006,24,48,1,48,2.11653e-006,48,2.11656e-006
0.100044,0.233469,0.233474,-2.39808e-006,24,48,1,48,2.33471e-006,48,2.33474e-006
0.100045,0.236742,4.78906e-006,0.236604,24,48,0,-2.36737e-006,24,-24,48
0.100046,0.225833,4.78906e-006,0.225834,24,48,0,-2.25828e-006,24,-24,48
0.100047,0.214924,4.78906e-006,0.214925,24,48,0,-2.14919e-006,24,-24,48
0.100048,0.204014,4.78906e-006,0.204016,24,48,0,-2.0401e-006,24,-24,48
0.100049,0.193105,4.78906e-006,0.193107,24,48,0,-1.93101e-006,24,-24,48
0.10005,0.182196,4.78906e-006,0.182197,24,48,0,-1.82191e-006,24,-24,48
0.100051,0.171287,4.78906e-006,0.171288,24,48,0,-1.71282e-006,24,-24,48
0.100052,0.160378,4.78906e-006,0.160379,24,48,0,-1.60373e-006,24,-24,48
0.100053,0.149469,4.78906e-006,0.14947,24,48,0,-1.49464e-006,24,-24,48
0.100054,0.13856,4.78906e-006,0.138561,24,48,0,-1.38555e-006,24,-24,48
0.100055,0.127651,4.78906e-006,0.127652,24,48,0,-1.27646e-006,24,-24,48
0.100056,0.116742,4.78906e-006,0.116743,24,48,0,-1.16737e-006,24,-24,48
0.100057,0.105833,4.78906e-006,0.105834,24,48,0,-1.05828e-006,24,-24,48
0.100058,0.0949235,4.78906e-006,0.0949247,24,48,0,-9.49187e-007,24,-24,48
0.100059,0.0840144,4.78906e-006,0.0840156,24,48,0,-8.40096e-007,24,-24,48
0.10006,0.0731054,4.78906e-006,0.0731066,24,48,0,-7.31006e-007,24,-24,48
0.100061,0.0621963,4.78906e-006,0.0621975,24,48,0,-6.21915e-007,24,-24,48
0.100062,0.0512872,4.78906e-006,0.0512884,24,48,0,-5.12824e-007,24,-24,48
0.100063,0.0403781,4.78906e-006,0.0403793,24,48,0,-4.03733e-007,24,-24,48
0.100064,0.029469,4.78906e-006,0.0294702,24,48,0,-2.94642e-007,24,-24,48
0.100065,0.0185599,4.78906e-006,0.0185611,24,48,0,-1.85551e-007,24,-24,48
0.100066,0.0076508,4.78906e-006,0.00765201,24,48,0,-7.646e-008,24,-24,48
0.100067,0.00765081,0.00765561,-2.06057e-006,24,48,1,48,7.65321e-008,48,7.65561e-008
0.100068,0.029469,0.0294738,-2.39808e-006,24,48,1,48,2.94714e-007,48,2.94738e-007
0.100069,0.0512872,0.051292,-2.39808e-006,24,48,1,48,5.12896e-007,48,5.1292e-007
0.10007,0.0731054,0.0731101,-2.39808e-006,24,48,1,48,7.31078e-007,48,7.31102e-007
0.100071,0.0949235,0.0949283,-2.39808e-006,24,48,1,48,9.49259e-007,48,9.49283e-007
0.100072,0.116742,0.116747,-2.39808e-006,24,48,1,48,1.16744e-006,48,1.16747e-006
0.100073,0.13856,0.138565,-2.39808e-006,24,48,1,48,1.38562e-006,48,1.38565e-006
0.100074,0.160378,0.160383,-2.39808e-006,24,48,1,48,1.6038e-006,48,1.60383e-006
0.100075,0.182196,0.182201,-2.39808e-006,24,48,1,48,1.82199e-006,48,1.82201e-006
0.100076,0.204014,0.204019,-2.39808e-006,24,48,1,48,2.04017e-006,48,2.04019e-006
0.100077,0.225833,0.225837,-2.39808e-006,24,48,1,48,2.25835e-006,48,2.25837e-006
0.100078,0.240014,4.78906e-006,0.23977,24,48,0,-2.4001e-006,24,-24,48
0.100079,0.229105,4.78906e-006,0.229107,24,48,0,-2.29101e-006,24,-24,48
0.10008,0.218196,4.78906e-006,0.218197,24,48,0,-2.18191e-006,24,-24,48
0.100081,0.207287,4.78906e-006,0.207288,24,48,0,-2.07282e-006,24,-24,48
0.100082,0.196378,4.78906e-006,0.196379,24,48,0,-1.96373e-006,24,-24,48
0.100083,0.185469,4.78906e-006,0.18547,24,48,0,-1.85464e-006,24,-24,48
0.100084,0.17456,4.78906e-006,0.174561,24,48,0,-1.74555e-006,24,-24,48
0.100085,0.163651,4.78906e-006,0.163652,24,48,0,-1.63646e-006,24,-24,48
0.100086,0.152742,4.78906e-006,0.152743,24,48,0,-1.52737e-006,24,-24,48
0.100087,0.141833,4.78906e-006,0.141834,24,48,0,-1.41828e-006,24,-24,48
0.100088,0.130924,4.78906e-006,0.130925,24,48,0,-1.30919e-006,24,-24,48
0.100089,0.120014,4.78906e-006,0.120016,24,48,0,-1.2001e-006,24,-24,48
0.10009,0.109105,4.78906e-006,0.109107,24,48,0,-1.09101e-006,24,-24,48
0.100091,0.0981962,4.78906e-006,0.0981974,24,48,0,-9.81914e-007,24,-24,48
0.100092,0.0872871,4.78906e-006,0.0872883,24,48,0,-8.72823e-007,24,-24,48
0.100093,0.076378,4.78906e-006,0.0763792,24,48,0,-7.63732e-007,24,-24,48
0.100094,0.0654689,4.78906e-006,0.0654702,24,48,0,-6.54641e-007,24,-24,48
0.100095,0.0545599,4.78906e-006,0.0545611,24,48,0,-5.45551e-007,24,-24,48
0.100096,0.0436508,4.78906e-006,0.043652,24,48,0,-4.3646e-007,24,-24,48
0.100097,0.0327417,4.78906e-006,0.0327429,24,48,0,-3.27369e-007,24,-24,48
0.100098,0.0218326,4.78906e-006,0.0218338,24,48,0,-2.18278e-007,24,-24,48
0.100099,0.0109235,4.78906e-006,0.0109247,24,48,0,-1.09187e-007,24,-24,48
0.1001,1.44023e-005,4.78906e-006,1.56035e-005,24,48,0,-9.60226e-011,24,-24,48
